Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation
City of Eugene,USA,Eugene,,2016,Other,"In boundary fossil fuel use: Gasoline, Diesel, Natural Gas",2010,1884651,50,2030,"Goal is silent on which fossil fuels.  This could apply to aviation fuel as well, but the target is focused on community use.","(44.0519, -123.0867)"
City of Hamilton,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712,10,2012,Targets achieved in 2011.,"(43.250021, -79.866091)"
City of Santa Monica,USA,Santa Monica,,2016,Total,"Residential, Commercial, Industrial - electricity & natural gas; Transportation; Solid Waste",1990,924293,80,2050,,"(34.0219, -118.4814)"
City of Hamilton,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712,80,2050,New targets set in 2013 by Council.,"(43.250021, -79.866091)"
City of Hayward,USA,Hayward,,2016,Total,City of Hayward,2005,1130113,20,2020,,"(37.6689, -122.0808)"
City of Knoxville,USA,Knoxville,,2016,Total,Knoxville area,2005,4581171,20,2020,"Note: For question 7.3, The City of Knoxville has not estimated anticipated reductions or measure reductions based on each emissions reduction activity.  However, the cumulative effect of past emissions reductions activities reduced residential energy consumption by 2%, commercial energy consumption by 13%, and community greenhouse gas emissions by 7.75% between 2005 and 2012.","(35.9606, -83.9207)"
"City of Lake Forest, IL",USA,"Lake Forest, IL",,2016,Total,Entire Inventory,2007,402364,20,2015,"After reaching our target, our current goal is to decrease emissions 2% annually.","(42.258634, -87.840625)"
City of Lakewood,USA,Lakewood,,2016,Total,City of Lakewood jurisdictional boundary,2007,2646593,20,2025,,"(39.7047, -105.0814)"
City of Lakewood,USA,Lakewood,,2016,Total,City of Lakewood jurisdictional boundary,2007,2646593,50,2050,,"(39.7047, -105.0814)"
Halifax Regional Municipality,Canada,Halifax,,2016,Total,,2002,6775289,80,2050,World Energy Cities Calgary CLimate Accord,"(44.6478, -63.5714)"
"City of London, ON",Canada,"London, ON",,2016,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000,15,2020,,"(42.9837, -81.2497)"
"City of London, ON",Canada,"London, ON",,2016,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000,37,2030,"NOTE: London has committed to using targets consistent with the Province of Ontario's targets. In spring 2015, Ontario
announced this new mid-term reduction goal for a 37% reduction by 2030.","(42.9837, -81.2497)"
"City of London, ON",Canada,"London, ON",,2016,Total,"GHG sources to which the target applies: city wide fossil fuel use (except aviation, marine, railway); indirect emissions from electricity use (grid-average for Ontario); landfill gas",1990,3250000,80,2050,,"(42.9837, -81.2497)"
City of Minneapolis,USA,Minneapolis,,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000,80,2050,,"(44.983334, -93.26667)"
"City of Northampton, MA",USA,"Northampton, MA",,2016,Total,entire city,2000,,30,2020,"Primarily using fossil fuels, not GHG, as our measurement tool because we have more (albeit still very limited) data","(42.304845, -72.614446)"
City of Oakland,USA,Oakland,,2016,Transport,"Transportation & Land Use
Energy Use
Material Consumption & Waste",2005,1988265,36,2020,,"(37.8044, -122.2708)"
City of Palo Alto,USA,Palo Alto,,2016,Total,City wide emissions,1990,780119,20,2020,2007 goals exceeded. New goals being set this year. The City will comply with all State requirements and targets.,"(37.4419, -122.143)"
City of Palo Alto,USA,Palo Alto,,2016,Total,City wide emissions,1990,780119,80,2030,,"(37.4419, -122.143)"
"City of Park City, UT",USA,"Park City, UT",,2016,Total,"Scope 1
Scope 2 
Scope 3",2015,19590,100,2032,Park City has adopted a goal of Net Zero Carbon Emissions for all citywide activities by 2032. This includes Scope 1 & 2 emissions as well as air travel.,"(40.6461, -111.498)"
City of Pittsburgh,USA,Pittsburgh,,2016,Total,Pittsburgh City limits,2003,5987870,20,2025,In PCAP 1.0 PCI set a target of 20% below 2003 baseline by 2023. We are currently developing more ambitious and specific greenhouse gas reduction targets.,"(40.4406248, -79.9958864)"
City of Pittsburgh,USA,Pittsburgh,,2016,Transport,Pittsburgh City limits,2013,833781,50,2030,,"(40.4406248, -79.9958864)"
"City of Richmond, VA",USA,"Richmond, VA",,2016,Total,"Total - Scope 1,2,3",2008,3377616,80,2050,1.8% annually,"(37.540725, -77.436048)"
City of Sacramento,USA,Sacramento,,2016,Total,Jurisdictional boundary,2005,4161823,15,2020,,"(38.5816, -121.4944)"
City of Sacramento,USA,Sacramento,,2016,Total,Jurisdictional boundary,2005,4161823,49,2035,,"(38.5816, -121.4944)"
City of Sacramento,USA,Sacramento,,2016,Total,Jurisdictional boundary,2005,4161823,83,2050,,"(38.5816, -121.4944)"
City of San Antonio,USA,San Antonio,,2016,Total,,2013,16089575,50,2050,,"(29.4241, -98.4936)"
City of Santa Monica,USA,Santa Monica,,2016,Total,"Residential, Commercial, Industrial - electricity & natural gas; Transportation; Solid Waste",1990,924293,15,2015,,"(34.0219, -118.4814)"
"City of Somerville, MA",USA,"Somerville, MA",,2016,Total,All activities inside the municipal boundary,2014,609565,100,2050,"Somerville has a carbon neutrality by 2050 goal.  The exact technical definition of carbon neutrality, for accounting purposes, has not yet been finalized.","(42.393449, -71.082647)"
City of St Louis,USA,St Louis,,2016,Total,,2005,7972916,25,2020,,"(38.6270025, -90.1994042)"
City of West Hollywood,USA,West Hollywood,,2016,Total,Community-wide emissions,2008,583213,25,2035,The target is 20-25% over 2008 levels.,"(34.09, -118.3617)"
City of Winnipeg,Canada,City of Winnipeg,,2016,Total,All in inventory.,1998,5257324,6,,No firm target date or action plan.,"(49.8997541, -97.1374937)"
City of Yonkers,USA,Yonkers,,2016,Buildings,"Residential, commercial, industrial buildings",2010,844276,20,2020,,"(40.9414, -73.8644)"
Los Altos Hills,USA,Los Altos Hills,,2016,Total,Town wide,2005,89913,30,2025,"Not yet approved by town council. Our prior target was 30% below 2005 levels by 2015, and we achieved 15%.","(37.3797, -122.1375)"
Town of Blacksburg,USA,Blacksburg,,2016,Total,"Our original target boundary only included residential, commercial, industrial, municipal and transportation.  See comments for further explanation",1990,422626,80,2050,"We are undertaking an 80% reduction in community-wide emissions below 1990 levels by 2050.  The sectors for which emissions were measured were: residential, commercial, industrial, municipal and transportation.  There are strategies addressing each of these sectors in the resulting plan.  There are a handful of additional sectors that were included in the plan even though they were not part of our initial GHG inventory.  These include: food, waste & recycling, land use, and clean energy.","(37.2296, -80.4139)"
Ville de Montreal,Canada,Montreal,,2016,Total,All,1990,14969534,30,2020,,"(45.5086699, -73.5539925)"
City of Austin,USA,Austin,C40,2016,Total,"All residential, commercial, and industrial sources including transportation, landfills, electricity generation, heating, cooling, water treatment, wastewater treatment, all.",2010,14500000,90,2050,net zero by 2050,"(30.2672, -97.7431)"
City of Boston,USA,Boston,C40,2016,Total,total community emissions,2005,7440000,25,2020,,"(42.3584308, -71.0597732)"
City of Chicago,USA,Chicago,C40,2016,Total,Scope 1 and 2 emissions,1990,32300000,80,2050,,"(41.8781136, -87.6297982)"
City of Chicago,USA,Chicago,C40,2016,Total,Scope 1 and 2 emissions,1990,32300000,25,2020,,"(41.8781136, -87.6297982)"
City of Los Angeles,USA,Los Angeles,C40,2016,Total,City of Los Angeles,1990,36200000,60,2035,,"(34.0522342, -118.2436849)"
City of Los Angeles,USA,Los Angeles,C40,2016,Total,City of Los Angeles,1990,36200000,80,,,"(34.0522342, -118.2436849)"
City of Philadelphia,USA,Philadelphia,C40,2016,Total,Scopes 1&2,2006,22837228,80,2050,Mayor Kenney committed to an 80 by 50 goal when taking office in 2016. The Office of Sustainability will baseline and set interim goals as part of the Greenworks plan update later in 2016.,"(39.952335, -75.163789)"
"City of Portland, OR",USA,"Portland, OR",C40,2016,Total,"Scope 1 (except fugitive emissions), Scope 2 and ""waste disposal""",1990,8989460,40,2030,,"(45.52, -122.6819)"
"City of Portland, OR",USA,"Portland, OR",C40,2016,Total,"Scope 1 (except fugitive emissions), Scope 2 and ""waste disposal""",1990,8989460,80,2050,,"(45.52, -122.6819)"
"City of Portland, OR",USA,"Portland, OR",C40,2016,Total,Multnomah County,1990,8989869,80,2020,Multnomah County,"(45.52, -122.6819)"
City of San Francisco,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949,20,2012,The City of San Francisco has completed a third party emissions verification during January 2015.  The City has met it's year 2012 emission reduction target by reducing it's community-wide emissions approximately 23.3% below 1990 levels.,"(37.7749295, -122.4194155)"
City of San Francisco,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949,25,2017,,"(37.7749295, -122.4194155)"
City of San Francisco,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949,40,2025,,"(37.7749295, -122.4194155)"
City of San Francisco,USA,San Francisco,C40,2016,Total,"Residential, Commercial/Industrial, Transportation, Waste.",1990,6201949,80,2050,,"(37.7749295, -122.4194155)"
City of Seattle,USA,Seattle,C40,2016,Total,"Road transportation
Building energy
Waste",2008,3647000,100,2050,"Our long-term goals are:
58% reduction by 2030
Zero net emissions by 2050.","(47.6062095, -122.3320708)"
Wellington City Council,New Zealand,Wellington,,2016,Total,City,,1310705,80,2050,,"(26.661763, -80.268357)"
City of Toronto,Canada,Toronto,C40,2016,Total,"Applies to all Toronto (community) electricity, natural gas, transportation and solid waste emissions",1990,27051617,80,2050,6% by 2012 and 30% by 2020 below 1990 levels for the urban area; we also baselined 2004 due to inherent inadequacy of some of the 1990 data.,"(43.653226, -79.3831843)"
City of Vancouver,Canada,Vancouver,C40,2016,Total,"All buildings, transportation and solid waste from the community",2007,2805000,33,2020,See the Greenest City Action Plan for details. Baseline was calculated in 2014 due to change in GWP of CH4 per IPCC AR4 (2007).,"(49.261226, -123.1139268)"
City of Vancouver,Canada,Vancouver,C40,2016,Buildings,All existing buildings,2007,1145000,20,2020,See the Greenest City Action Plan for details.,"(49.261226, -123.1139268)"
District of Columbia,USA,District of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895,15,2015,,"(38.9071923, -77.0368707)"
District of Columbia,USA,District of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895,20,2020,,"(38.9071923, -77.0368707)"
District of Columbia,USA,District of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895,50,2032,2032,"(38.9071923, -77.0368707)"
District of Columbia,USA,District of Columbia,C40,2016,Total,"Building energy use (residential, commercial, government), transportation (VMTs), solid waste, transit.",2006,10101895,80,2050,2050,"(38.9071923, -77.0368707)"
City of Yokohama,Japan,Yokohama,C40,2016,Other: Residential,Administrative boundary of a local government,2005,4390000,21,2020,,"(35.4437078, 139.6380256)"
New York City,USA,New York City,C40,2016,Total,"Buildings and streetlights
Fugitive Emissions
Transportation",2005,55616668,30,2030,"NEW YORK—Mayor de Blasio announced today that New York City is committing to reducing its greenhouse gas emissions by 80 percent over 2005 levels by 2050, starting with One City, Built to Last: Transforming New York City’s Buildings for a Low-Carbon Future – a sweeping plan to retrofit public and private buildings to dramatically reduce the city’s contributions to climate change, while spurring major cost savings and creating thousands of new jobs for New Yorkers who most need them. This makes New York the largest city to commit to the 80 percent reduction by 2050, and charts a long-term path for investment in renewable sources of energy and a total transition from fossil fuels.

Nearly three quarters of New York City’s greenhouse gas emissions come from energy used to heat, cool, and power buildings, making building retrofits a central component of any plan to dramatically reduce emissions.

The City is poised to make direct investments to increase the efficiency of its public buildings, including schools and public housing, reducing the government’s contribution to climate change and generating operational savings for New York City taxpayers. Every single city-owned building with any significant energy use – approximately 3,000 buildings – will be retrofitted within the next ten years, by 2025, with interim goals along the way.","(40.7127837, -74.0059413)"
Suwon City,South Korea,"Suwon ",,2016,Total,Suwon total emissions,2005,601495,40,,,"(37.2635727, 127.0286009)"
New York City,USA,New York City,C40,2016,Buildings,"Buildings and streetlights
Fugitive Emissions
Transportation",2005,55616668,35,2025,"Global climate change is the challenge of our generation. The stakes are high—for New Yorkers and for the world. In the coming years, New York City will face rising sea levels, increased temperatures and heat waves, and an increasing frequency of the most intense storms. These risks are not remote nor distant. They are here today. The damage caused by Hurricane Sandy in 2012 provided vivid evidence of these risks. Almost two years later, we are still recovering. Globally, climate change is having a devastating impact on people’s lives as rising sea levels flood coastlines, droughts disrupt livelihoods, and storms, hurricanes, and other extreme weather events threaten security and economic development.

For this reason, New York City is committed to reducing its greenhouse gas (GHG) emissions by 80 percent by 2050—the level the United Nations projects is needed to avoid the most dangerous impacts of climate change—and will chart a long-term course for a total transition away from fossil fuels to renewable sources of energy. We have developed an action plan for our buildings sector to reach a 35% energy reduction by 2025.","(40.7127837, -74.0059413)"
New York City,USA,New York City,C40,2016,Total,"Buildings and streetlights
Fugitive Emissions
Transportation",2005,55616668,80,2050,"Global climate change is the challenge of our generation. The stakes are high—for New Yorkers and for the world. In the coming years, New York City will face rising sea levels, increased temperatures and heat waves, and an increasing frequency of the most intense storms. These risks are not remote nor distant. They are here today. The damage caused by Hurricane Sandy in 2012 provided vivid evidence of these risks. Almost two years later, we are still recovering. Globally, climate change is having a devastating impact on people’s lives as rising sea levels flood coastlines, droughts disrupt livelihoods, and storms, hurricanes, and other extreme weather events threaten security and economic development.

For this reason, New York City is committed to reducing its greenhouse gas (GHG) emissions by 80 percent by 2050—the level the United Nations projects is needed to avoid the most dangerous impacts of climate change—and will chart a long-term course for a total transition away from fossil fuels to renewable sources of energy. We have developed an action plan for our buildings sector to reach a 35% energy reduction by 2025.","(40.7127837, -74.0059413)"
"City of Brisbane, CA",USA,"Brisbane, CA",,2016,Total,,2005,160944,15,2020,,"(37.6808, -122.4)"
"City of Hermosa Beach, CA",USA,"Hermosa Beach, CA",,2016,Total,City of Hermosa Community  emissions,2005,137160,100,2040,,"(33.8622, -118.3995)"
City of North Vancouver,Canada,North Vancouver,,2016,Total,City of North Vancouver municipal boundary,2007,224212,15,2020,"Includes: solid waste, public transportation; private transportation; industrial buildings; residential buildings","(49.32699, -123.07328)"
City of North Vancouver,Canada,North Vancouver,,2016,Total,City of North Vancouver municipal boundary,2007,224212,50,2050,"Includes: solid waste, public transportation; private transportation; industrial buildings; residential buildings","(49.32699, -123.07328)"
"Town of Vail, CO",USA,"Vail, CO",,2016,Total,Vail town limits,2009,406000,20,2020,,"(39.6403, -106.3742)"
City Government of Makati,Philippines,Makati,,2016,Other,"GHG emission (electricity,fuel,waste) of commercial establishment per the GHG Tracker System",2011,60000,52,2020,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,"(14.559004, 121.081632)"
Changwon City,South Korea,"Changwon ",C40,2016,Total,"Carbon Reduction Ratio by GHG Sources
Industrial                           30.7%
Domestic                          14.8%
Commercial                        5.8%
Transportation                  20.9%
Wastes                               1.5%
Agriculture, Livestocks       6.2%
Others                               20.2%",2005,7501126,30,2020,"The total reduction amount will be reached 3,102,145tCO2eq.","(35.154167, 126.949167)"
City of Melbourne,Australia,Melbourne,C40,2016,Total,"- Electricity
- Gas
- Transport
- Waste",2008,4934000,100,2020,We have a Zero Net Emissions by 2020 Strategy for the municipality.,"(-37.814107, 144.96328)"
City of Sydney,Australia,Sydney,C40,2016,Total,"Emissions from sources: electricity, gas, transportation and waste within the operational boundary of City of Sydney",2006,4536712,70,2030,Baseline emissions were calculated based on GPC BASIC methodology,"(-33.8674869, 151.2069902)"
City of Yokohama,Japan,Yokohama,C40,2016,Other: Commercial,Administrative boundary of a local government,2005,3350000,7,2020,,"(35.4437078, 139.6380256)"
City of Yokohama,Japan,Yokohama,C40,2016,Other: Industries,Administrative boundary of a local government,2005,2950000,8,2020,,"(35.4437078, 139.6380256)"
City of Yokohama,Japan,Yokohama,C40,2016,Other: Energy Industries,Administrative boundary of a local government,2005,3680000,4,2020,,"(35.4437078, 139.6380256)"
City of Yokohama,Japan,Yokohama,C40,2016,Transport,Administrative boundary of a local government,2005,4340000,50,2020,,"(35.4437078, 139.6380256)"
City of Yokohama,Japan,Yokohama,C40,2016,Waste,Administrative boundary of a local government,2005,430000,2,2020,,"(35.4437078, 139.6380256)"
City of Yokohama,Japan,Yokohama,C40,2016,Other: 5 gases other than CO2,Administrative boundary of a local government,2005,410000,22,2020,,"(35.4437078, 139.6380256)"
City of Yokohama,Japan,Yokohama,C40,2016,Total,Administrative boundary of a local government,2005,19540000,16,2020,,"(35.4437078, 139.6380256)"
Seoul Metropolitan Government,South Korea,"Seoul ",C40,2016,Transport,"Transportation, Citizen's cultural place etc.",2005,49467000,25,2020,One Less Nuclear Power Plant,"(37.566535, 126.9779692)"
Singapore Government,Singapore,"Singapore ",C40,2016,Total,Total GHG (nation-wide),2020,77.2,11,2020,"7 to 11% reduction (unconditional) from 2020 Business-as-usual (BAU) emissions

16% reduction (conditional of global deal) from 2020 Business-as-usual (BAU) emissions","(1.352083, 103.819836)"
Tokyo Metropolitan Government,Japan,Tokyo,C40,2016,Total,,2000,62100000,30,2030,"TMG also set energy efficiency targets


industrial and Commercial sector 30%
Residential sector 30%
Transportation 60%
Total 38%","(35.6896342, 139.6921007)"
Tokyo Metropolitan Government,Japan,Tokyo,C40,2016,Other: Industrial and Commercial sector,,2000,25700000,20,2030,,"(35.6896342, 139.6921007)"
Tokyo Metropolitan Government,Japan,Tokyo,C40,2016,Other: Residential sector,,2000,14300000,20,2030,,"(35.6896342, 139.6921007)"
Tokyo Metropolitan Government,Japan,Tokyo,C40,2016,Transport,,2000,17600000,60,2030,,"(35.6896342, 139.6921007)"
Ansan City,South Korea,"Ansan ",,2016,Total,"City hall, ward office, businesses, community service center buildings and cars. (scope 1 + scope 2)",2010,,20,2015,do not wish to disclose baseline emissions,"(37.321878, 126.830885)"
Auckland Council,New Zealand,"Auckland ",C40,2016,Total,City-wide,1990,8760000,10,2020,Baseline emissions need to be updated.,"(-36.815328, 174.741788)"
Auckland Council,New Zealand,"Auckland ",C40,2016,Total,City-wide,1990,8760000,40,2040,Baseline emissions need to be updated.,"(-36.815328, 174.741788)"
Auckland Council,New Zealand,"Auckland ",C40,2016,Total,City-wide,1990,8760000,50,2050,Baseline emissions need to be updated.,"(-36.815328, 174.741788)"
Canberra,Australia,Canberra,,2016,Total,all,1990,3185500,40,2020,Baseline emissions subject to change should in event of methodology change,"(-35.3075, 149.1244)"
Canberra,Australia,Canberra,,2016,Total,all,1990,3185500,100,2050,Baseline emissions subject to change should in event of methodology change,"(-35.3075, 149.1244)"
City Government of Makati,Philippines,Makati,,2016,Transport,Pedestrian Improvement and creation of elevated pathways,2011,48000,42,2020,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,"(14.559004, 121.081632)"
City Government of Makati,Philippines,Makati,,2016,Other,Trees planted,2011,7000,13,2020,Figures in the 4th column entails the reduction effort in tCO2e in 10 years time. Baseline emission is the Total emission of 1.6 tCO2e.,"(14.559004, 121.081632)"
City of Adelaide,Australia,Adelaide,,2016,Total,All emissions relating to the municipality.,,,100,2025,Target = zero net carbon emissions by 2025 (so there is no baseline year).,"(-34.928499, 138.600746)"
City of Adelaide,Australia,Adelaide,,2016,Total,All emissions relating to the municipality.,2007,411000,35,2020,,"(-34.928499, 138.600746)"
City of Nagoya,Japan,Nagoya,,2016,Total,市民・事業者における排出源等、算定分野全て,1990,17390000,25,2020,,"(35.181446, 136.906398)"
City of Okayama,Japan,Okayama,,2016,Other,,1990,6104000,4.2,2020,,"(34.655146, 133.919502)"
City of Perth,Australia,Perth,,2016,Total,,2006,965000,30,2031,,"(56.394994, -3.430838)"
Gwangyang City,South Korea,"Gwangyang ",,2016,Total,Scope 1 + Scope 2,2008,3666,20,2015,GHG/Energy Target Management Scheme for public   affairs,"(34.940697, 127.695888)"
Hongcheon County,South Korea,"Hongcheon ",,2016,Transport,Transportation,2013,1143582,33,2020,,"(37.696952, 127.888683)"
Hsinchu County Government,Taiwan,"Hsinchu ",,2016,Total,"Corporation and residential department, industrial department,
transportation, energy and waste, and agriculture and forestry.",2011,10739613,5,2020,,"(24.8269, 121.0129)"
Hsinchu County Government,Taiwan,"Hsinchu ",,2016,Total,"Corporation and residential department, industrial department,
transportation, energy and waste, and agriculture and forestry.",2011,10739613,10,2025,,"(24.8269, 121.0129)"
Kaohsiung City Government,Taiwan,Kaohsiung,,2016,Total,Kaohsiung City,2005,64339200,20,2020,"Chu Chen, Mayor of Kaohsiung City had set up short term GHG reduction target, decreasing 20% by 2020 compared with the emissions in 2005. Therefore, city has to build up its future BAU for comparison with baseline emissions, to estimate how many should city reduce in order to reach the target.","(22.629705, 120.343804)"
New Taipei City Government,Taiwan,"New Taipei ",,2016,Total,Administrative boundary of a local government,2006,18487331,0,2016,,"(25.0111, 121.4458)"
New Taipei City Government,Taiwan,"New Taipei ",,2016,Total,Administrative boundary of a local government,2008,19122376,20,2026,,"(25.0111, 121.4458)"
Pingtung County Government,Taiwan,"Pingtung ",,2016,Total,All emissions within the municipality boundary,2013,4600000,30,2030,"Pingtung County set up the GHG emission reduction goal, decreasing 30% by 2030 compared with the emission in 2013.","(22.551976, 120.54876)"
Suwon City,South Korea,"Suwon ",,2016,Total,Suwon total emissions,2005,601495,5,,,"(37.2635727, 127.0286009)"
Suwon City,South Korea,"Suwon ",,2016,Total,Suwon total emissions,2005,601495,20,,,"(37.2635727, 127.0286009)"
Taipei City Government,Taiwan,Taipei City,,2016,Total,All city,2008,16546253,0,2020,,"(25.037525, 121.563782)"
Taipei City Government,Taiwan,Taipei City,,2016,Total,All city,2005,16132003,25,2030,,"(25.037525, 121.563782)"
Taipei City Government,Taiwan,Taipei City,,2016,Total,All city,2005,16132003,50,2050,,"(25.037525, 121.563782)"
Taoyuan City Hall,Taiwan,"Taoyuan ",,2016,Total,Taoyuan City,2005,30474326,50,2050,In accordance with Central Government policy,"(24.993628, 121.30098)"
Uljin County,South Korea,"Uljin ",,2016,,,2009,230497,20,2015,,"(36.993066, 129.400419)"
Wellington City Council,New Zealand,Wellington,,2016,Total,City,2001,1310705,10,2020,,"(26.661763, -80.268357)"
Wellington City Council,New Zealand,Wellington,,2016,Total,City,2001,1310705,40,2030,,"(26.661763, -80.268357)"
Wellington City Council,New Zealand,Wellington,,2016,Total,City,2001,1310705,65,2050,,"(26.661763, -80.268357)"
Batangas City,Philippines,Batangas,,2016,Total,,2010,457288,25,2016,,"(13.756465, 121.058308)"
Metropolitan Municipality of Lima,Peru,Lima,C40,2016,Transport,Lima metropolitana,2015,,10,2016,"En el PEI del Instituto Metropolitano de Protransporte de Lima, tiene como indicador de reducción del 10% de las emisiones que emiten el transporte público.","(-12.046374, -77.042793)"
City of Brasília,Brazil,Brasília,,2016,Total,"Os resultados de emissões anuais totais médias do DF por categoria indicam uma predominância de emissões advindas da categoria Transporte (setor Energia), seguida pelas categorias Produção de cimento (setor IPPU) e Disposição de resíduos sólidos em sítios não manejados (setor Resíduos), que em conjunto representam 79,82% das emissões do DF e se configuram como as mais emissoras no inventário de GEE do DF. Além disso, essas categorias configuram-se como as que mais contribuíram para o crescimento das emissões em termos absolutos.",,5648130000,40,2020,"O Distrito Federal conta com uma Política de Clima (LEI Nº 4.797, DE 6 DE MARÇO DE 2012 - Promulgada em 24/4/2015), ainda não regulamentada, cuja meta de mitigação está de acordo com as metas da PNMC- LEI Nº 12.187, DE 29 DE DEZEMBRO DE 2009),  neste caso, meta de 40% até 2020.","(-15.794229, -47.882166)"
Gobierno Municipal de León de los Aldamas,Mexico,León de los Aldamas,,2016,Total,Territorio municipal,2013,5012.13,20,2020,Meta global de mitigación definida en el programa municipal de cambio climático.,"(21.132751, -101.678184)"
Comune di Olbia,Italy,Olbia,,2016,Total,,2009,225640,25.23,2020,,"(41.882316, 12.505936)"
Municipalidad de La Paz,Bolivia,La Paz,,2016,Transport,Hacia una movilidad urbana baja en carbono (Promoción del transporte masivo),2012,700,45,2040,"Se pretende tener un sistema de transporte sostenible que sea seguro, confiable, económico, eficiente, equitativo, al alcance de todos, que  incida positivamente en la generación de cambios positivos en la seguridad ciudadana tanto en los índices de accidentalidad, contaminación y seguridad ciudadana, generado a través de los programas de transporte masivo (La Paz Bus, Puma Katari, teleférico laderas, tren elevado ecológico); Y un Sistema de transporte en La Paz y El Alto renovado (a través de un Programa de renovación del parque automotor)","(-16.5, -68.15)"
Municipalidad de La Paz,Bolivia,La Paz,,2016,Waste,Reducción de emisiones de GEI asociada a la gestión de residuos sólidos,2012,190,17,2040,"Se espera contar con una gestión Integral de Residuos Sólidos desde origen con reciclaje y reutilización, a partir del establecimiento de mecanismos de compensación y beneficio económico, con inclusión social y disposición final adecuada, incidiendo positivamente sobre la salud y la educación de la población en general, controlada (a través de red de puntos verdes, planta de biogás, plastimadera  y Educación ambiental para la Gestión Integral de Residuos sólidos)","(-16.5, -68.15)"
Municipalidad de La Paz,Bolivia,La Paz,,2016,Buildings,Disminución de emisiones de GEI a nivel residencial,2012,338,35,2040,"Los resultados esperados serían (Herramientas conceptuales, técnicas y jurídicas para la aplicación de acciones en materia de calidad ambiental  elaboradas y Sistema energético des-fosilizado y  generación y consumo de  energía en el Municipio de La Paz controlado), a través de Programa control y monitoreo de calidad ambiental (normativa greenbuilding, hora del planeta) y el Programa energías renovables y ecoeficientes (Eficiencia energética en viviendas del municipio-área urbana y Educación para uso eficiente de energía)","(-16.5, -68.15)"
Municipalidad de La Paz,Bolivia,La Paz,,2016,Buildings,Disminución de emisiones de GEI a nivel comercial,2012,113,63,,"Los resultados esperados serían (Herramientas conceptuales, técnicas y jurídicas para la aplicación de acciones en materia de calidad ambiental y Sistema energético des-fosilizado y  generación y consumo de  energía en el Municipio de La Paz controlado) a través de Programa control y monitoreo de calidad ambiental (normativa greenbuilding), Programa energías renovables y ecoeficientes (Eficiencia energética en comercios del municipio (área urbana y Sensibilización y educación para uso eficiente de energía) y Alumbrado público eficiente (La Paz Iluminada + Recambio de luminaria LED en el alumbrado público de la ciudad)","(-16.5, -68.15)"
Municipalidad de La Paz,Bolivia,La Paz,,2016,Buildings,Eficiencia en el sector industrial,2012,79,23,,"Sistema energético des-fosilizado y  generación y consumo de  energía en el Municipio de La Paz controlado; Uso de energías alternativas incrementado, matriz de generación diversificada y consumo de combustibles fósiles reducido, en Bolivia y Eficiencia energética en el sector industrial a través de Programa energías renovables y eco-eficientes, Programa energías renovables y eco eficientes y Programa de Electrificación Rural con Energía Renovable","(-16.5, -68.15)"
Municipality of Belo Horizonte,Brazil,Belo Horizonte,,2016,Total,"Buildings, electricity, fuel and sanitation/waste treatment and discharge",2007,3176966,20,2030,"All this items are in discussion inside the Plan For GHG Reduction - PREGEE but our target date will be 2030. The plan will be released in 2013, July, and will anticipate the reduction in the emissions growth curve.","(-19.916681, -43.934493)"
Prefeitura de Florianópolis,Brazil,Florianópolis,,2016,Other,"agriculture, livestock, residential and services, waste, transport, transverse",2013,2099020,42,2020,"low carbon agriculture, implementation of green infrastructure, reduction in energy, consumption, sanitation, reducing fuel consumption","(-27.5949884, -48.5481743)"
