Organization,CityName,Country,Region,C40,ReportingYear,Boundary,GasesIncluded,TotalCityWideEmissions,Comment,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,Population,PopulationYear,CityGDP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​AverageAltitude,​LandArea,CityLocation
City of San Francisco,San Francisco,USA,North America,C40,2017,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control,,4981652,,Other: Methodology Change,"Residential, Commercial/Industrial, Transportation (private, commercial, public/mass transit), Waste as well as Municipal emissions continues to decrease due to the City of San Francisco's progressive climate policies and commitment to implementing effective emission reduction strategies.  

A total reduction of approximately 6% in community-wide emissions was observed compared to the last verified inventory carried out during CY2012.  

The Stationary Energy sector emissions decreased ~11% because natural gas and electricity consumption decreased across all sub-sectors.  

The Transportation sector emissions decreased by ~3% predominately affected by significant decreases in the Waterborne Navigation and On-road Transporation subsectors.  This occurred despite an emissions increase in the Railways sub-sector emissions which was affected by a methodology change in the way Bay Area Rapid Transit (BART) began collecting more specific power data and their use of a more conservative or higher emissions factor starting CY2013.

Regarding the Waste sector, first, wastewater fugitive data collection was improved with better activity data.  This resulted in a more accurate picture of the contribution of fugitive wastewater emissions; thus, cutting by nearly half what was originally reporting in 2012. Consequently, when we compare the Waste sector since last inventoried,  emissions actually increased 18% influenced by not only an increase in total wastewater treatment and discharge emissions, but also because of an 18% increase in solid waste disposed emissions.  The updated CY2013 waste characterization study was more detailed which allowed a closer look at organic waste.  As a result, the category ""Other Organic Waste"" is now included as organic; previously categorized as inorganic.  Recategorization alone resulted in a 9% emissions increase.   The remaining 9% was a result of an increase in Wood+Textiles as well as Paper landfilled and thus emissions at ~5% and 4%, respectively.

The Agriculture sector emissions increased nearly three-fold because the data source seems to have reported significant increases in CH4 animal waste while not allocating any biogenic emissions; nonetheless, agriculture still remains a fraction of this urban city's overall activity.",864816,2016,117467440139,USD     US Dollar,2015,City Controller's Office,14.1,142,121,"(37.7749295, -122.4194155)"
"City of Lake Forest, IL","Lake Forest, IL",USA,North America,,2017,A metropolitan area,CO2; CH4; N2O,402364,,This is our first year of calculation,,19375,2010,,,,,8.8,205,45,"(42.258634, -87.840625)"
Región Metropolitana de Santiago,Santiago,Chile,Latin America,C40,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; HFCs,28406420,"Although a high level of accuracy has been reached in scope 1, scope 2 uses the national electricity consumption disaggregated according to the regional consumption of the year 2014.",Decreased,"The emissions has decreased 1% respect year 2012. 
There was a significant decrease in the energy industry emissions, however it was counteracted by an increase in the transport sector.",6527903,2012,71856593000000,CLP     Chilean Peso,2015,Central Bank of Chile,14,520,15403,"(-33.44889, -70.669265)"
District of Columbia,"Washington, DC",USA,North America,C40,2017,Administrative boundary of a local government,,8026730,,Decreased,"The regional shift in electricity generation from coal to natural gas is responsible for the largest share of emissions reductions Additionally, the District has experienced a decline in energy consumption, which can be attributed to improvements in building energy efficiency resulting from building codes, incentive programs, and other green building and energy programs.",681170,2016,122146000000,USD     US Dollar,2015,U.S. Bureau of Economic Analysis,14.7,,158,"(38.9071923, -77.0368707)"
"City of Portland, OR","Portland, OR",USA,North America,C40,2017,Administrative boundary of a local government,CO2; CH4; N2O,6974544,,Decreased,,619360,2014,163692000000,USD     US Dollar,2013,2013 GDP & personal income. U.S. Department of Commerce Bureau of Economic Analysis,12.5,77,376,"(45.52, -122.6819)"
Alcaldia de Tulua,Tulua,Colombia,Latin America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,208681,Vale aclarar que estos datos pueden tener una incertidumbre de media a alta dado la naturaleza de los datos de actividad y los factores de emisión fueron seleccionados por defecto del IPCC.,,,209086,2017,,COP     Colombian Peso,,,27,980,910,"(4.08618, -76.19793)"
Gemeente Rotterdam,Rotterdam,Netherlands,Europe,C40,2017,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control.,CO2,34190633,,Increased,"The total amount of CO2-emission in Rotterdam in 2015 has increased compared to the 2014-emissions. 34190633 tonnens in 2015 compared to 31512000 tonnes in 2014. It is the second relevant increase in a row, due to two new coal fire plants that started their operations. For that cause, we expect a further increase in 2016 and a decrease in 2017 when an old coal fire plant wil be closed.",624000,2014,53457000,EUR     Euro,2013,www.rotterdam.nl,11,-5,208,"(51.9163716, 4.4509382)"
Prefeitura de Florianópolis,Florianópolis,Brazil,Latin America,,2017,A metropolitan area,,740635,,Increased,"A diferença de emissões entre os anos é de 601.421 tCO2e, ou seja, houve um acréscimo de 42% em 2013 se comparado à 2010. Os setores de maior contribuição foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.",550000,2010,8787850000,USD     US Dollar,2013,IBGE,20,3,438,"(-27.5949884, -48.5481743)"
City of Lakewood,Lakewood,USA,North America,,2017,Administrative boundary of a local government,,1652223,,Decreased,"The last inventory represented 2007 emissions, and the 2015 GPC BASIC inventory shows that emissions have decreased by approximately 8.5% since then. Significant decreases in GPC BASIC emissions occurred in residential buildings, on-road transportation, and wastewater treatment.

Colorado state law requires Lakewood's electric utility to increase the efficiency of their operations and source increasing amounts of energy from low- to zero-carbon sources (i.e. renewable energy, recycled energy, etc.). As a result, the mix of energy sources that supply the electric grid changes every year and the resulting electricity emission factor decreases every year. Based on data from Lakewood electric utility provider, Xcel Energy, electricity emission factors decreased nearly 16% from 2007 to 2015. This trend was the primary cause of decreased emissions.",152589,2015,,,,,8.4,1638,114.5,"(39.7047, -105.0814)"
Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,,2017,Administrative boundary of a local government,,4494883,,Increased,,2513451,2016,87656760000,BRL     Brazilian Real,2014,IBGE,21,900,331,"(-19.916681, -43.934493)"
Istanbul Metropolitan Municipality,"Istanbul ",Turkey,Europe,C40,2017,A metropolitan area,,47862539,,Increased,"Compared to the last emissions inventory developed in 2010, it is seen that the highest increase is from stationary units. The increase in greenhouse gases emitted from the stationary units is due to the increase in electricity and natural gas consumption.Despite the reduction in consumption of LPG, gasoline and fuel in public transport vehicles, an increase of more than 50% in diesel consumption has led to an increase in on-road tranportation emissions.Along with the increase in the number of vehicles, it is considered that the amount of fuel consumed during the construction of the large infrastructural investments which have recently increased is also effective in this increase.Unlike the 2010 inventory, emissions from aviation and water-borne navigation are included in the inventory in 2015.",14804116,2016,622762000000,TRY     New Turkish Lira,2014,Turkish Statistical Institute,13.7,100,5343,"(41.0082, 28.9784)"
"City of Davis, CA","Davis, CA",USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O; HFCs,348347,,Decreased,Lower carbon emission electricity energy mix (grid).,65600,2010,,USD     US Dollar,2016,N/A,23,15,25,"(38.544907, -121.740517)"
Santiago de Cali,Santiago de Cali,Colombia,Latin America,,2017,Combination of administrative divisions,CO2; CH4; N2O,4174608,,,,2369829,2015,4540,,2012,DAPM,24.7,995,566,"(3.451647, -76.531985)"
Pretoria - Tshwane,Pretoria - Tshwane,South Africa,Africa,C40,2017,Administrative boundary of a local government,CO2; CH4; N2O,15236693,The 2014/2015 GHG calculation was the third carbon footprint in three consecutive years and there has been a similar trends in the City.,Increased,The exclusion of the Eskom and Pre-paid energy usage in the baseline figures. The two subsequent years the afore-mentioned usage was included.,3300000,2017,2739000000,ZAR     South African Rand,2016,STATSSA,17,1339,6298,"(-25.746111, 28.188056)"
Cascais,Cascais,Portugal,Europe,,2017,Administrative boundary of a local government,CO2,565382,http://www.cm-cascais.pt/projeto/matriz-energetica-de-cascais,Decreased,We have verified a decrease in fuel consumption between the mentioned time period.,208122,2014,,,2014,,17,,97,"(38.6970565, -9.4222945)"
City of Copenhagen,Copenhagen,Denmark,Europe,C40,2017,Administrative boundary of a local government,CO2; CH4; N2O,1450358,,Decreased,"The CO2-emissions from the City of Copenhagen in 2015 was 11% lower than the emissions in 2014. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general.


For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 29% less CO2 in 2015 than in 2014. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.",602504,2016,323182960000,DKK     Danish Krone,2015,"Danmarks Statistik, Statistics Denmark",8,9,86,"(55.6760968, 12.5683371)"
City of Cardiff,Cardiff,United Kingdom,Europe,,2017,Administrative boundary of a local government,CO2,1959900,Central government data (DECC). This is the only data available at the city scale but progress is rigorous and consistent.,Decreased,Main reduction in industry / commercial emissions but also some decrease in domestic emissions,354300,2014,11000000000,GBP     Pound Sterling,2015,gvairereferencetables,9.7,65,140,"(51.481581, -3.17909)"
Gobierno Municipal de León de los Aldamas,León de los Aldamas,Mexico,Latin America,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; HFCs,5012133,La elaboración del presente inventario contó con  asistencia técnica del Centro Mario Molina (utilizando la ya mencionada metodología del IPCC 2006 y los factores de emisión para las diferentes categorías analizadas) quienes posteriormente verificaron y validaron dicho inventario.,,,1578626,2015,218,MXN Mexican Peso,2015,Gobierno Municipal de León,19.3,1800,1283,"(21.122062, -101.683659)"
"City of Easton, PA","Easton, PA",USA,North America,,2017,Administrative boundary of a local government,,350900,,This is our first year of calculation,This year is the first of Easton’s community GHG inventory,26915,2015,1146500000,,,Lehigh Valley source. Scaled to population size,10,64,12,"(40.6884, -75.2207)"
"City of Fayetteville, AR","Fayetteville, AR",USA,North America,,2017,A metropolitan area,CO2; CH4; N2O; HFCs,1454781,"Data retrieved came directly from utility companies and ICLEI resources were used to ensure proper methodology was used but we are only able to include the 5 minimum sources: Electric, Gas, waste, water movement, and VMT. We also had to use certain defaults (such as the Default vehicle mix and the default municipal solid waste Emissions Factor) as we do not have specific data in those areas.",This is our first year of calculation,,82830,2016,,,,,14.5,1270,139.5,"(36.082156, -94.171854)"
Prefeitura de Porto Velho,Porto Velho,Brazil,Latin America,,2017,Combination of administrative divisions,,,,,,494013,2013,2363878,,2013,ibge,,,,"(-20.333764, -40.377582)"
Byron Shire Council,Byron Shire,Australia,South Asia and Oceania,,2017,Administrative boundary of a local government,CO2; CH4,263199,,This is our first year of calculation,,29209,2011,1460000000,AUD     Australian Dollar,2015,NIEIR,23.7,,556,"(-28.6534, 153.5334)"
"City of Saint Paul, MN","Saint Paul, MN",USA,North America,,2017,Administrative boundary of a local government,,,,This is our first year of calculation,This is our first year completing a GPC compliant inventory.,300353,2015,21200000000,USD     US Dollar,2015,,,,145,"(44.953703, -93.089958)"
City of Edmonton,Edmonton,Canada,North America,,2017,Administrative boundary of a local government,,13357063,,Increased,"The increase in the Community 2015 inventory from 2014 is roughly 2% (400,000 TCO2e greater in 2015 than realized in 2014 which had a total of 16,576,702 TCO2e). Comparing the numbers however is a bit unfair as the 2015 total was derived using the GPC reporting protocol and the 2014 used IEAP. New categories added to the inventory in 2015 include scope 3 emissions for the residential commercial and industrial sectors, as well as sectors of: Energy Industries, Energy generation to grid, Fugitive natural gas emissions, railway, aviation and off road, biological waste water, solid waste outside the city, biological waste outside the city, waste water outside the city, land and aggregate sources on land. The emissions from residential, commercial and industrial buildings all declined in 2015, more than likely due to the warmer weather throughout the year.",893000,2015,45228000000,CAD     Canadian Dollar,2015,Edmonton Chief Economist - John Rose - Real GDP at Market Prices in 2007 dollars,3.6,671,684,"(53.544389, -113.4909267)"
Los Altos Hills,Los Altos Hills,USA,North America,,2017,Administrative boundary of a local government,CO2,57243,,Decreased,"From 2014 to 2015 our emissions decreased from 78,678 MT to 77,583 MT. This was primarily due to decreased VMT (data obtained from state agencies) and reductions in Heating Fuel use due to a milder winter.",7992,2016,9900000,USD     US Dollar,2016,"Property taxes, permit and license fees, charges for services",14.3,89,21.8,"(37.3797, -122.1375)"
City of Espoo,Espoo,Finland,Europe,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1233581,Regionally developed methodology equivalent to GPC (and IPCC guidelines). There has been no external verification or audition. Cities of the Helsinki metropolitan area have jointly approved the current calculations methodology. The person responsible for calculating emissions is mr. johannes.lounasheimo@hsy.fi,Decreased,"The energy company Fortum is producing even more of the district heat with renewables. More of the the electricity used is low emission energy, for excample norwegian hydropower.

The total emissions are decreasing slower because Espoo is a very fast growing city,",274522,2016,,,,NA,7.3,26,312,"(60.205491, 24.6559)"
Iskandar Regional Development Authority,"Iskandar ",Malaysia,South Asia and Oceania,,2017,A metropolitan area,,15.47,,This is our first year of calculation,,1945000,2016,27025,,2012,"Iskandar Malaysia Comprehensive Development Plan, 2014-2025 (CDPii), March 2015 (GDP year: 2006)",30,547,2217,"(5.714476, 100.992084)"
City of Goiânia,Goiânia,Brazil,Latin America,,2017,Administrative boundary of a local government,,2016320,,,,1301892,2010,30131330,BRL     Brazilian Real,2010,IBGE - Brazilian Institute of Geography and Statistical,23.2,749,739,"(-16.6868912, -49.2647943)"
City of Calgary,Calgary,Canada,North America,,2017,Administrative boundary of a local government,,17679137,,Decreased,"The 2016 community wide GHG inventory shows a 3.1% decrease in emissions from 2015.  This is associated with a decrease in the burning of fossil fuels in the city boundaries.  The population has increased by 31,140 citizens from 2015 to 2016, which has driven an increase (+2.6%) in solid waste and emissions from wastewater treatment.  There was a 2.3% decrease in stationary energy (SE) use Scope 1 emissions, which may be due to a warmer than average winter, and 2.2% decrease in SE Scope 2 emissions relating to electricity, which may be due to more efficient use of electricity and more renewable energy on the Provincial grid.  The sector which saw the greatest decrease (-4.9%) in emissions was from Transportation.  This is likely a result of the economic downturn that Calgary has experienced since 2014.  A high unemployment rate means that less workers are commuting, and perhaps trips for leisure have also been curtailed.",1235055,2016,113400000000,CAD     Canadian Dollar,2016,http://www.calgaryeconomicdevelopment.com/dmsdocument/22,4.1,1084,848,"(51.048615, -114.070846)"
Tokyo Metropolitan Government,Tokyo,Japan,East Asia,C40,2017,Administrative boundary of a local government,,70733403,,This is our first year of calculation,,13646764,2017,94400000000000,JPY     Japanese yen,2016,,,,2191,"(35.6896342, 139.6921007)"
City of Flagstaff,Flagstaff,USA,North America,,2017,Administrative boundary of a local government,CO2,1424563,Our emissions inventory is based on the best data available. We have gaps in our methodology we hope to address in future years.,Increased,"Emissions resulting from transportation (specifically, the amount of gasoline and diesel) have increased since our last reported emissions inventory (2015 data). Additionally, we have improved some emissions data collection methods, which may have resulted in more accurate, but higher, emissions being recorded. We have also included natural gas used for transportation, which was not included in the previous inventory.",68667,2013,4903000000,USD     US Dollar,2015,"University of Arizona: Real GDP, Millions of Chained 2009 Dollars, Bureau of Economic Analysis https://ebr.eller.arizona.edu/current-indicators/browse-topic/gross-domestic-product",6.5,2134,165,"(35.1992, -111.6311)"
Metropolitan Government of Nashville and Davidson County,"Nashville and Davidson ",USA,North America,,2017,Administrative boundary of a local government,,13461292,,Increased,"There was a small increase since the 2011 inventory, which was an incomplete inventory due to limited availability of data. Because of limited documentation of the 2011 inventory, it is difficult to compare the two inventories. There has been a decrease in emissions since the 2005 inventory, even with a growing population. Contributing to decreases in reported community emissions are lower emissions from Nashville’s electric power source, TVA (their emissions per unit energy output declined by about 15% from 2005 to 2014), and more efficient vehicles (vehicle CO2e emissions per mile have decreased from about 450 to 350 grams/mile between 2005 and 2014). Meanwhile (although specific data is unavailable to demonstrate the quantity), building energy efficiency has been improving through both new and retrofit projects during this time frame. LEED certification and Energy Star are examples of growing programs that help improve building energy efficiency.",678889,2015,106695000000,USD     US Dollar,2014,MSA Data (not county only) from US DOC's BEA http://bea.gov/iTable/iTable.cfm?reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=34980&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels#reqid=70&step=10&isuri=1&7003=200&7004=naics&7035=-1&7005=-1&7006=34980&7001=2200&7036=-1&7002=2&7090=70&7007=2014&7093=levels,15.1,182,1367,"(36.1627, -86.7816)"
City of Knoxville,Knoxville,USA,North America,,2017,Administrative boundary of a local government,,4383703,,This is our first year of calculation,"This is our first year of using the GPC methodology.  Comparing sectors we've tracked in the past, community emissions are down by about 8% relative to our 2005 baseline.  We have seen an increase in community traffic and business in the City which has prevented continued gains on emissions strategies.",185291,2016,39155000000,USD     US Dollar,2015,US Department of Commerce Bureau of Economic Analysis; http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=28940&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels,15.3,269,255.2,"(35.9606, -83.9207)"
City of Melbourne,Melbourne,Australia,South Asia and Oceania,C40,2017,Administrative boundary of a local government,,5319010,,Increased,"2013/14 BASIC (including Scope 3 emissions) totals 5268025 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5319030 tCO2e. This represents a total change of +0.97%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.",136336,2015,90600000,AUD     Australian Dollar,2015,http://melbourne.geografia.com.au/,16.2,31,38,"(-37.814107, 144.96328)"
"City of Emeryville, CA","Emeryville, CA",USA,North America,,2017,Administrative boundary of a local government,,171413,,Decreased,,10570,2014,,USD     US Dollar,,,15.1,7,5.2,"(37.831316, -122.285247)"
City of Helsinki,Helsinki,Finland,Europe,,2017,Administrative boundary of a local government,CO2; CH4; N2O,2789724,https://www.hsy.fi/en/experts/climatechange/mitigation/Pages/Greenhouse-Gas-Emissions.aspx,Decreased,"Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels.
Long term: Less coal in district heating, waste management has improved, industry has decreased.",636000,2016,72067440000,EUR     Euro,2014,Notice: GDP for whole Helsinki region http://www.helsinginseutu.fi/www/HS/en/city-information/,5.9,,216.5,"(60.1733244, 24.9410248)"
City of Zaragoza,Zaragoza,Spain,Europe,,2017,Administrative boundary of a local government,CO2,1785604,,Decreased,"Fundamentalmente, las medidas adoptadas en las estrategias anteriormente citadas han conseguido una importante reducción de las emisiones en los sectores contemplados en el Pacto de Alcaldes: residencial y movilidad. Y ello tanto en el último año como desde 2015.
Por su parte, el sector industrial ha reducido sus emisiones en el último año aunque, desde 2005 estas han aumentado, Aparte de la influencia de determinadas actuaciones del Ayuntamiento (Plan de Acuerdos voluntarios) la crisis económica ha frenado en parte el incremento de las emisiones en este sector.",702564,2016,33793459000,EUR     Euro,2015,provisional,16.3,208,978,"(41.608629, -0.887012)"
Taipei City Government,Taipei,Taiwan,East Asia,,2017,Administrative boundary of a local government,,12114538,,Increased,"The GHG emissions of Taipei City have been verified by third party, BSI Taiwan (British Standards Institution Taiwan), from 2005 to 2015 in 2016. The greenhouse gas emissions of Taipei City in 2015 were 12,117,400 metric tons. The greenhouse gas emissions of the City present a rising tendency in 2005-2008. The increasing tendency slowed down and began to decline since the 2008. 
There is no power plant in Taipei City jurisdiction; electricity usage is all dependent on the electricity grid from outside county. Although Taipei city’s electricity consumption in 2015 was lower 70 million KWh than that in 2014, the GHG emissions increased slightly in 2015 cause of the country’s electricity emission factor increased about 1.34%.",2695704,2016,529676000000,USD     US Dollar,2016,"Gross Domestic Product by Expenditures, National Statistics, R.O.C (Taiwan) (2016) There is no relation data of Taipei GDP.",23,60,272,"(25.037525, 121.563782)"
Village of Kadiovacik,Kadiovacik,Turkey,Europe,,2017,Administrative boundary of a local government,CO2,413,,Decreased,,218,2017,10000,TRY     New Turkish Lira,2017,Governmental,19,327,5947,"(38.3434574, 26.553613)"
Tel Aviv-Yafo Municipality,"Tel Aviv-Yafo ",Israel,South and West Asia,,2017,Administrative boundary of a local government,CO2; CH4; N2O,4654482,Data was based mostly on estimates and the Inventory is in Hebrew,Increased,"Mainly due to increase in electricity consumption, however increase is less than population growth so per capita there is a decrease in emissions, especially in energy in the industrial sector.  Also emissions from waste have increased only slightly and per capita have decreased, this is in line with Municipal policies to reduce landfill waste disposal.",432900,2014,,,,,20,40,52,"(32.081604, 34.782285)"
City of Cape Town,Cape Town,South Africa,Africa,C40,2017,Administrative boundary of a local government,,21233880,,Decreased,"The City of Cape Town undertook a process to update the GHG inventory by updating the two main energy sources with 2015 available data,i.e. electricity and liquid fuel. 
The electricity consumption has decreased 5% in comparison to the 2012 data – over the last few years there has been a decoupling of electricity consumption in comparison to the GDP. 
The liquid fuel consumption has increased by 10% in comparison to the 2012 data. 
Unfortunately the minor energy source data was not available for this GHG update, however it is assumed that it would not have too much influence on the inventory. 
Overall the GHG emissions have increased for the CCT due to the liquid fuel consumption increases by the above mentioned margin. 
does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).",4012441,2016,388000000000,ZAR     South African Rand,2015,Economic Performance Indicators for Cape Town series. GDP constant figure also available: R301 billion.,16.6,,2444,"(-33.9253, 18.4239)"
Government of Hong Kong Special Administrative Region,Hong Kong,Hong Kong,East Asia,C40,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; HFCs,44900000,95% level of confidence,Increased,"Hong Kong's GHG emission recorded a small increase of 1.31% from 44.3 million tones CO2e in 2013 to 44.9 million tonnes CO2e in 2014, mainly due to (i) the increase in electricity generation to cope with GDP and population growth; (ii) more use of coal for electricity generation to make up the shortfall in natural gas supply.",7336600,2016,320679000000,USD     US Dollar,2016,Census and Statistics Department,23.3,129,1105,"(22.2880809, 114.1398015)"
Moscow Government,"Moscow ",Russia,Europe,C40,2017,Combination of administrative divisions,,25680678,,,,12330126,2016,,,,,6.7,156,2511,"(55.755826, 37.6173)"
Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,,2017,Administrative boundary of a local government,CO2,17465,Official data from Statistikamt Nord.,Decreased,"In contrast to last year, the main sector responsible for the reduction of CO2 emissions was households/businesses, trade, services. This is mainly due to a lower consumption of heating energy, in particular natural gas, caused by significantly warmer weather. The second factor is a significant decline in electricity consumption.",1787408,2015,102500000000,EUR     Euro,2014,Statistikamt Nord,8.8,6,755,"(53.5510846, 9.9936818)"
Municipio de Mérida,Mérida,Mexico,Latin America,,2017,Administrative boundary of a local government,,,,,Esta es la primera vez que se realiza el inventario.,830732,2010,7111125,MXN     Mexican Peso,2015,INEGI 2012,25.9,8,858,"(20.96737, -89.592586)"
City of Ljubljana,Ljubljana,Slovenia,Europe,,2017,Administrative boundary of a local government,,2060963,,Decreased,"due to the actions taken. city centre closed for traffic, ordering of electricity (100 % RES), refurbishment of building (public and private through subsidies from public companies and state Eco-fund), iintroduction of CNG and electric buses in public transport, installation on electric cars charging stations, ...",288307,2016,25329,EUR     Euro,2014,"Region Central Slovenia(2014: 25329€/capita, source: stat.si), no special data for Ljubljana ( €/capita), $:€: 1,13",10.3,,275,"(46.056947, 14.505751)"
City of Providence,Providence,USA,North America,,2017,Administrative boundary of a local government,,1685403,,This is our first year of calculation,,178562,2014,30300000000,USD     US Dollar,2012,"City of Providence Task Force on Economic Development Final Report, April 2014, http://council.providenceri.com/efile/212",10,17,48,"(41.824, -71.4128)"
Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,,2017,Administrative boundary of a local government,,32221,,,,30000,2015,86024000,USD     US Dollar,2015,World Bank site,25,78,19,"(31.323126, 34.344025)"
Stara Zagora,Stara Zagora,Bulgaria,Europe,,2017,Combination of administrative divisions,,1104,,,,325963,2011,2244657,USD     US Dollar,2013,,12.9,196,5151.1,"(42.425777, 25.634464)"
City of Albany,Albany,USA,North America,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; HFCs,1217091,http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/,Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.,"Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.",97856,2010,49621,USD     US Dollar,2013,U.S. Bureau of Economic Analysis,9,9,55,"(42.6526, -73.7562)"
Gladsaxe Kommune,Gladsaxe,Denmark,Europe,,2017,A metropolitan area,,331282,,Decreased,"Energy saving plans, projects and goals. Expansion of district heating which provide Citizens and Companies with eco-friendly heating.",67347,2015,35900000000,DKK     Danish Krone,2015,Statistic Denmark,9.4,31,24.9,"(55.733461, 12.488686)"
Auckland Council,"Auckland ",New Zealand,South Asia and Oceania,C40,2017,Administrative boundary of a local government,,8388416,,Stayed the same,"Between 2013 and 2014, Auckland’s GHG emissions have remained relatively stable, with an increase of 43 kt CO2e or 0.4 per cent for gross emissions and a decrease of 78 kt CO2e or 0.7 per cent for net emissions. The emissions were higher from transport and IPPU sectors in 2014 than in 2013, by 83 kt CO2e and 27 kt CO2e respectively. The emissions were lower from stationary energy, waste and AFOLU sectors in 2014 than in 2013, by 7 kt CO2e, 41 kt CO2e and 140 kt CO2e, respectively. There were additional 122 kt CO2e sequestrated from forestry in 2014 than in 2013.",1614400,2016,88295000,NZD     New Zealand Dollar,2015,Statistics New Zealand,15.3,79,4894,"(-36.815328, 174.741788)"
Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,C40,2017,Administrative boundary of a local government,,17006642,,Increased,"The numbers presented here are from the same inventory reported to CDP last year. However, since it was submitted to external verification and the numbers were reviewed according to the recommendations of the verifier there was just a slight increase due to this review.
In comparison to the last Inventory made for the city, which has 2005 as the base year, there was a significant increase in emissions (around 75%) mainly due to the start of operations in 2010 of a new steel mill plant inside the city border, TKCSA.",6498837,2016,299849795374,BRL     Brazilian Real,2014,IBGE,23.7,5,1224.6,"(-22.9054389, -43.5614471)"
City of Benicia,Benicia,USA,North America,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; HFCs,688706,A third party data anomaly in the 2010 inventory may result in significant revisions that show improved progress toward goals.,Increased,"In 2010, community-wide emissions with large industrial emitters had increased from 2005 by 24% while community-wide emissions without large industrial emitters increased by 41%.  There was a 5.6% increase in emissions (2000-2005, with large emitters).   When the baseline inventory was completed, the team predicted that by 2010, emissions (w/ large industrial emitters) would increase 9% from 2005 to 4.6 million metric tons.  If large emitters were still included, then the increase between 2005 and 2010 was only a 24% increase, 15% more than what was originally predicted.  However, for 2010, it was decided to exclude large emitters.  This means that increases in all other sectors have a greater impact on total emissions, i.e. the increase in transportation emissions has a much greater impact on overall emissions levels.   The roughly 35% increase between 2005 and 2010 could be due to a number of things including changes in reporting protocols, e.g. permitting requirements changed or the non-recession years outweighed the recession years.  It could also be that Benicia was not as hard hit by the recession as other communities and therefore, emissions didn't decrease. Again, educated guesses have been made as to what caused the increase.    Please note that vehicle miles travelled (VMT) grew between 2000 and 2010 by 62%, while emissions increased 95%.  The % of total emissions from transportation is within the Bay Area average. The Metropolitan Transportation Commission (MTC) calculates VMT using a proprietary software model. MTC inputs traffic counts, vehicle speeds, vehicle make and model, and fuel data into its software. In 2010, per the change in the modeling software, Benicia is now responsible for 50% of the trips that start elsewhere but end in Benicia and trips that start in Benicia but end elsewhere. This is calculated based on the number of people that exit or enter the highway in Benicia. Pass through VMT is not attributed to Benicia. Then, emissions are calculated by inputting VMT into the CACP software, which generates a GHG equivalent (MTCO2e). The increase in off road emissions is due to construction permit projections for buildings, which may have never been built. However, estimating off road emissions using construction permit data is the recommended calculation method per ICLEI’s protocol and guidance.",27450,2014,23000000,USD     US Dollar,2014,Solano EDC http://www.solanocounty.com/depts/bos/working_to_create_jobs/economic_studies.asp,21,26,13,"(38.049365, -122.1585777)"
