Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation,Country,CityName.1,MeasurementYear,Boundary,PrimaryMethodology,MethodologyDetails,GasesIncluded,TotalCityWideEmissions,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,PopulationYear,CurrentPopulation,CityGPP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​LandArea,AverageAltitude,Organization,Region,Population,CityGDP,​AverageAltitude,Access,TypeOfTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Questionnaire,AssessmentAttachmentOrDirectLink,BoundaryAssessment,YearOfPublicationOrApproval,FactorsConsidered,PrimaryAuthors,AdaptionGoalOrPlan,LastUpdate
Municipality of Belo Horizonte,Brazil,Belo Horizonte,,2016.0,Total,"Buildings, electricity, fuel and sanitation/waste treatment and discharge",2007,3176966.0,20.0,2030.0,"All this items are in discussion inside the Plan For GHG Reduction - PREGEE but our target date will be 2030. The plan will be released in 2013, July, and will anticipate the reduction in the emissions growth curve.","(-19.916681, -43.934493)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefeitura de Florianópolis,Brazil,Florianópolis,,2016.0,Other,"agriculture, livestock, residential and services, waste, transport, transverse",2013,2099020.0,42.0,2020.0,"low carbon agriculture, implementation of green infrastructure, reduction in energy, consumption, sanitation, reducing fuel consumption","(-27.5949884, -48.5481743)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Buenos Aires,Argentina,Buenos Aires,C40,2016.0,Total,The reduction target purposed by Buenos Aires City includes our entire emissions inventory,2008,12742478.0,30.0,2030.0,"-Baseline scenario goal: 2008 is the start year of the baseline scenario used as the starting point for the BAU analysis. 
-Buenos Aires City target applies to the entire city-wide emissions inventory. The sources we have disclosed are the mitigation lines included in the target. 
-Note that the target of 30 % includes an unconditional 20 % and 10% conditional on access to finance and the national regulatory policy framework.","(-34.6037232, -58.3815931)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Metropolitano de Quito,Ecuador,Quito,C40,2016.0,Total,"5% reduction per year of the projected growth rate of emissions, starting 2019",2011,5218318.0,30.0,2025.0,"5% reduction per year of the projected growth rate of emissions, starting 2019","(-0.2333, -78.5167)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefeitura do Rio de Janeiro,Brazil,Rio de Janeiro,C40,2016.0,Total,"Road Transportation, Railway, Residential, Commercial, Public Sector, fugitive emissions and other, Forest and land use, Urban Solid Waste, wastewater.",2005,11933280.0,16.0,2016.0,Measurement of avoided GHG emissions.,"(-22.9054389, -43.5614471)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefeitura do Rio de Janeiro,Brazil,Rio de Janeiro,C40,2016.0,Total,"Road Transportation, Railway, Residential, Commercial, Public Sector, fugitive emissions and other, Forest and land use, Urban Solid Waste, wastewater.",2005,11933280.0,20.0,2020.0,Measurement of avoided GHG emissions.,"(-22.9054389, -43.5614471)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefeitura do Rio de Janeiro,Brazil,Rio de Janeiro,C40,2016.0,Total,Community-scale emissions and emissions of Rio responsibility from outside the city boundary. Carbon compensation is considered for achieving this goal.,,,100.0,2065.0,"Rio has just launched its goal for being carbon neutral until 2065, fifty years from now.","(-22.9054389, -43.5614471)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Lucca,Italy,Lucca,,2016.0,Total,,2005,437265.0,20.0,2020.0,http://www.covenantofmayors.eu/about/signatories_it.html?city_id=4190&seap,"(43.839917, 10.617374)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederikshavn Kommune,Denmark,Frederikshavn Kommune,,2016.0,Total,,2010,547000.0,97.0,2030.0,,"(57.442711, 10.521006)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Alba-Iulia,Romania,Alba-Iulia,,2016.0,Buildings,,2008,4292.0,34.0,2020.0,,"(46.082337, 23.569027)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Alba-Iulia,Romania,Alba-Iulia,,2016.0,Buildings,,2008,61560.0,25.0,2020.0,,"(46.082337, 23.569027)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Alba-Iulia,Romania,Alba-Iulia,,2016.0,Buildings,,2008,98185.0,18.0,2020.0,,"(46.082337, 23.569027)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Alba-Iulia,Romania,Alba-Iulia,,2016.0,Transport,,2008,44216.0,23.0,2020.0,,"(46.082337, 23.569027)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Alba-Iulia,Romania,Alba-Iulia,,2016.0,Other: public lighting - energy regeneration,,2008,1935.0,38.0,2020.0,,"(46.082337, 23.569027)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Town of Ajax, ON",Canada,"Ajax, ON",,2016.0,Total,Within the municipality boundaries,2005,521250.0,6.0,2020.0,,"(43.850855, -79.020373)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Prince George, BC",Canada,"Prince George, BC",,2016.0,Total,,2002,,2.0,2012.0,"City has not set new targets at this time, working on them for the near future.","(53.917064, -122.749669)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Piedmont, CA",USA,"Piedmont, CA",,2016.0,Total,City of Piedmont,2005,427000000.0,15.0,2020.0,,"(37.8244, -122.2316)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ville de Salaberry-de-Valleyfield,Canada,Salaberry-de-Valleyfield,,2016.0,Total,"Community sector:
- Waste management
- road transport",2009,198408.23,20.0,2020.0,,"(45.250091, -74.133086)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscow Government,Russia,Moscow ,C40,2016.0,Total,Total emissions within the inventory boundary,1990,63443619.0,25.0,2020.0,,"(55.755826, 37.6173)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadt Heidelberg,Germany,Stadt Heidelberg,C40,2016.0,Total,,1990,,95.0,2050.0,,"(49.398752, 8.672434)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Davis, CA",USA,"Davis, CA",,2016.0,Total,Municipal boundary/city limits,2010,348437.0,100.0,2050.0,,"(38.544907, -121.740517)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Hiroshima,Japan,Hiroshima,,2016.0,Total,"CO2
CH4
NO2
HFCs",1990,8525221.0,6.0,,,"(34.385203, 132.455293)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ville de Montreal,,2016.0,,,,,,,,"(45.5086699, -73.5539925)",Canada,Montreal,12/31/2009 12:00:00 AM,Other: The regional entity that constitutes the agglomeration of Montreal (it is not the metropolitan area of Montreal whitch is bigger than the agglomeration of Montreal) - see Question 1 in the Introduction for more information,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)",CO2; CH4; N2O,13722942.0,Stayed the same,We have not produced a new inventory.,2011.0,1886481.0,120118000000.0,CAD     Canadian Dollar,2014.0,"Ville de Montréal, Montréal en statistiques, http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887843&_dad=portal&_schema=PORTAL",6.8,500.0,17.0,,,,,,,,,,,,,,,,,,
,,Greater Manchester,,2016.0,,,,,,,,"(53.4575955, -2.1578377)",United Kingdom,Manchester,12/31/2013 12:00:00 AM,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools.",CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,14889318.0,Decreased,"Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport",2014.0,2762000.0,87773000000.0,,2013.0,UK ONS (using 1.56 USD/GBP) Figures provided is a GVA not GDP figure,9.5,1277.0,250.0,,,,,,,,,,,,,,,,,,
,,City of Reno,,2016.0,,,,,,,,"(39.5296, -119.8138)",USA,Reno,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Also utilized the U.S. Community Protocol for Accounting and Reporting of  Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,4437665.0,This is our first year of calculation,,2014.0,236995.0,10000000000.0,USD     US Dollar,2014.0,Bureau of Economic Analysis10.4,10.4,288.0,1373.0,,,,,,,,,,,,,,,,,,
,,City of Minneapolis,,2016.0,,,,,,,,"(44.983334, -93.26667)",USA,Minneapolis,12/31/2014 12:00:00 AM,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"A note regarding how double counting is avoided for stationary sources:
- natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector.  
- electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector.",CO2; CH4; N2O,4794708.0,Increased,"Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).",2014.0,407207.0,235700000000.0,USD     US Dollar,2014.0,http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=33460&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels,7.9,139.8,264.0,,,,,,,,,,,,,,,,,,
,,"City of London, ON",,2016.0,,,,,,,,"(42.9837, -81.2497)",Canada,"London, ON",12/31/2014 12:00:00 AM,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),as adapted by ICLEI Canada for use in the FCM's Partners for Climate Protection Program,CO2; CH4; N2O,3070000.0,Increased,"Winter temperatures in 2014 were below normal (i.e., the ""Polar Vortex"") compared to 2013 (normal winter temperatures) and the unusually warm winter of 2012. As a result, overall natural gas use was up by eight percent in 2014 compared to 2013.

Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2014, greenhouse gas emissions were 19 percent lower than 2007. In fact, London's emissions in 2014 were six percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to.

Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, only 0.1 percent of Ontario's electricity demand was generated by burning coal as these plants were shut down, and 10 percent was generated by burning natural gas. The rest of Ontario's electricity demand was met with emissions-free generation: 62 percent nuclear, 24 percent hydroelectric, 4 percent wind and other renewables.

Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the economic slow-down in manufacturing sector also contributes to lower emissions.",2014.0,375000.0,15400000000.0,CAD     Canadian Dollar,2014.0,"Conference Board of Canada, London Census Metropolitan Area data prorated by population and adjusted to 2007",7.9,421.0,251.0,,,,,,,,,,,,,,,,,,
,,Ville de Lausanne,,2016.0,,,,,,,,"(46.5198, 6.6335)",Switzerland,Lausanne,12/31/2013 12:00:00 AM,Administrative boundary of a local government,Other,Baseline Emission Inventory of the Covenant of Mayor,CO2,499573.0,Decreased,see SEAP,2015.0,140000.0,8834000000.0,,2014.0,calculated by city government,12.0,55.0,500.0,,,,,,,,,,,,,,,,,,
,,City of Columbus,,2016.0,,,,,,,,"(39.9611755, -82.9987942)",USA,Columbus,12/31/2015 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Basic Reporting.,CO2; CH4; N2O,10983600.0,Decreased,"Greenhouse gas emissions increased 5% since our baseline emission inventory of 2013, but decreased since the 2014 inventory by 4%.",2014.0,835957.0,108089000000.0,USD     US Dollar,2014.0,https://development.ohio.gov/files/research/E1001.pdf,11.6,563.0,275.0,,,,,,,,,,,,,,,,,,
,,Métropole Nice Côte d'Azur,,2016.0,,,,,,,,"(43.710173, 7.261953)",France,Nice Côte d'Azur,12/31/2010 12:00:00 AM,A metropolitan area,Other,Bilan Carbone,CO2; PFCs; CH4; SF6; N2O; HFCs,3352154.0,,,2015.0,550000.0,,,,,,1400.0,18.0,,,,,,,,,,,,,,,,,,
,,Incheon Metropolitan City,,2016.0,,,,,,,,"(37.456256, 126.705206)",South Korea,Incheon ,12/31/2015 12:00:00 AM,Administrative boundary of a local government,Other,Calculation Korea Environment Corporation municipal greenhouse gas emissions guidelines ver.4.0 (2015. January),CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,69794140.0,Increased,"GHG emissions saw a 2.2% increase due to a comprehensive increase in Scope 1 energy usage related to increase in population, households, GRDP, and motor vehicles caused by the development of new cities such as Songdo, Cheongna and Yeongjong.",2015.0,2983484.0,68373000000000.0,KRW     South Korean Won,2014.0,KOSIS,12.7,1381.0,26.0,,,,,,,,,,,,,,,,,,
,,City of Chicago,C40,2016.0,,,,,,,,"(41.8781136, -87.6297982)",USA,Chicago,12/31/2010 12:00:00 AM,Administrative boundary of a local government,Other,"Chicago conducts regional GHG emissions inventories in-keeping with rigorous protocol and standards. New GHG methodologies and standards that were not available for previous analyses will be evaluated and adopted for future GHG emissions inventories, as-appropriate. 

The following GHG protocols were used in the 2010 Regional GHG Inventory:

The LGOP for Greenhouse Gas Assessments developed by ICLEI, CAR, TCR and CARB (California Air Resources Board 2010a): This protocol includes methods for estimating emissions resulting from government buildings and facilities, government fleet vehicles, wastewater treatment and potable water treatment facilities, landfill and composting facilities, and other operations. This protocol was developed primarily for use by California local governments; although it contains methodologies for estimating emissions pertinent to community emissions sources. Further, this protocol can be modified for use outside of California, although in some cases, data sources or other references may need to be modified accordingly to local conditions or constraints.

The USEPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2007 (U.S. Environmental Protection Agency 2009a): The national inventory documentation includes standard methodology and emission factors for nationwide GHG emissions inventorying. 

The IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on Climate Change 2006a): This document is the international standard for inventories and provides much of the baseline methodology used in the national and statewide emission inventories. 

The GHG Protocol Corporate Standard developed by WRI and the WBCSD (World Resources Institute 2004): Although this is a protocol designed for use primarily by private corporations, it was one of the first documents to establish the principles and steps to developing a GHG inventory. This document has influenced the development of other types of GHG protocols, including those for municipal, government, and community-wide emissions.",CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,33500000.0,Stayed the same,"The City of Chicago's next planned comprehensive Citywide GHG Emissions Inventory is in-progress, based on 2015 emissions.",2013.0,2719000.0,563188000000.0,,2014.0,Brookings Institution,9.4,606.0,181.0,,,,,,,,,,,,,,,,,,
,,City of Melbourne,C40,2016.0,,,,,,,,"(-37.814107, 144.96328)",Australia,Melbourne,06/30/2015 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts.   
* Electricity, gas and water data was provided directly by the utility companies.  
* Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics.  
*The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012.
 *Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.",CO2; PFCs; CH4; SF6; N2O; HFCs,4372420.0,Decreased,"2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.",2016.0,137889.0,90600000000.0,AUD     Australian Dollar,2015.0,http://melbourne.geografia.com.au/,15.0,38.0,31.0,,,,,,,,,,,,,,,,,,
,,Aarhus Kommune,,2016.0,,,,,,,,"(56.168393, 10.137373)",Denmark,Aarhus Kommune,01/01/2016 12:00:00 AM,Administrative boundary of a local government,Other,CO2-beregneren (National guideline for municipalities),CO2,1900.0,,,2016.0,320000.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,"City of Richmond, VA",,2016.0,,,,,,,,"(37.540725, -77.436048)",USA,"Richmond, VA",12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Collected data over a 1 year period with the help of many City departments as well as private utility company.,CO2,3152498.0,Decreased,"increases in efficiency, increased usage of natural gas",2014.0,217853.0,70491000000.0,,2014.0,http://www.bea.gov/itable/iTable.cfm?ReqID=70&step=1#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=40060&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels (this is metro area and not city specific),15.0,162.0,49.0,,,,,,,,,,,,,,,,,,
,,City of Las Vegas,,2016.0,,,,,,,,"(36.1699412, -115.1398296)",USA,Las Vegas,12/31/2014 12:00:00 AM,A metropolitan area,Other,"Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection. These data points were input into ICLEI's CACP software to obtain aggregated community emission data for Southern Nevada.",CO2,29657130.0,Increased,"The population of Las Vegas has stayed fairly constant in the last 5 years.  Population dropped slightly after the recession, but has increased past 2009 levels.  Community emissions targets are not as rigidly defined as the municipality's, so reductions in GHG emissions are not as pronounced.",2016.0,621970.0,94521.0,USD     US Dollar,2014.0,http://cber.unlv.edu/CCEconData.html,21.0,136.0,664.0,,,,,,,,,,,,,,,,,,
,,New York City,C40,2016.0,,,,,,,,"(40.7127837, -74.0059413)",USA,New York City,12/31/2014 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","ConEdison (ConEd) provided data on use of citywide electricity
and steam, and natural gas in the Bronx, Manhattan, and parts of
Queens. National Grid reported natural gas use data for Brooklyn,
parts of Queens, and Staten Island. The Long Island Power Author-
ity (LIPA) reported electricity use data for the Rockaways area of
Queens. Fuel oil use was provided by private fuel oil suppliers, per
Local Law 43 of 2013, which requires fuel oil providers to report
fuel oil deliveries by fuel type to the City on an annual basis. The
New York Metropolitan Transportation Council (NYMTC) provided
on-road transportation vehicle-miles-traveled (VMT) data. Energy
use data for public transit were provided by the Metropolitan
Transportation Authority (MTA) for New York City Transit (NYCT)
subways and buses, Staten Island Railway (SIR), MTA Metro-North
Rail Road (MNR) and Long Island Railroad (LIRR) commuter rail,
and MTA Bus Company buses; by the Port Authority of New York
and New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail;
and New Jersey Transit (NJT) for its commuter rail and buses.
Data used to calculate fugitive and process CH4 and process N2O
from wastewater treatment were provided by DEP. CH4 emissions
were calculated based on the destruction of volatile material in
anaerobic digesters. Based on the measured concentration and
flow of volatile organic solids, it is estimated that 15 cubic feet of
digester gas is produced for every pound of volatile organic solids
destroyed. N2O emissions were calculated by applying the daily
nitrogen load discharged by each of the City’s 14 wastewater
treatment plant to the formula in the LGOP.

Fugitive CH4 from in-city landfills was calculated from landfill gas
collection data provided by the New York City Department of Sani-
tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exported
solid waste was calculated using waste disposal figures for resi-
dential, commercial, and construction and demolition waste and
applying emissions factors from the USCP, which were taken from
EPA’s Waste Reduction Model (WARM). Fugitive CH4 from natural
gas distribution was calculated using data provided by National
Grid and ConEd. Fugitive SF6 from electricity distribution was cal-
culated using data provided by ConEd. 

.",CO2; CH4; SF6; N2O,49385508.0,Increased,The most significant driver was a colder winter in 2014 relative to 2013 which increased heating fuel use.,2014.0,8491079.0,1558520000000.0,USD     US Dollar,2015.0,http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor,13.0,784.0,10.0,,,,,,,,,,,,,,,,,,
,,City of Warsaw,C40,2016.0,,,,,,,,"(52.2296756, 21.0122287)",Poland,Warsaw,12/31/2014 12:00:00 AM,Administrative boundary of a local government,Other,Covenant of Mayors,CO2,11721774.0,Decreased,"Reduction of CO2 emission was caused by lower consumption of heat and electricity for buildings which may have been caused by investments in thermal retrofitting of buildings, reduction of energy use due to higher social awareness (due to SEAP educational campaigns) and warmer winter.",2016.0,1626514.0,30041.0,,2013.0,Central Statistical Office of Poland,8.0,517.0,103.0,,,,,,,,,,,,,,,,,,
,,City of Toronto,C40,2016.0,,,,,,,,"(43.653226, -79.3831843)",Canada,Toronto,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste.

a. Energy Heating and Cooling:
The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...

b. Transportation: 
Data are collected and standardized only for car and truck traffic through the City using four main sources: 
-truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division
-accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division
--a Canadian standard developed by a Canadian consultant

The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources.

c. Waste: 
Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.",CO2,18320966.0,Decreased,"a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption
b.  Significantly reducing the amount of waste going to landfill, and therefore, the amount of methane gas generated

Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.",2011.0,2753100.0,157300000000000.0,CAD     Canadian Dollar,2013.0,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD,8.0,634.0,77.0,,,,,,,,,,,,,,,,,,
,,Birmingham City Council,,2016.0,,,,,,,,"(52.480174, -1.902907)",United Kingdom,Birmingham,12/31/2013 12:00:00 AM,A metropolitan area,Other,Data supplied by Department of Energy & Climate Change annually with a two year lag.  Dataset is Local Authority Emissions within scope.,CO2,5199.7,Decreased,"Total CO2 emissions decreased between 2012 and 2013 by 3.2%. The reduction is consistent with the decrease in overall UK emissions from 2012 to 2013. The main drivers of the decrease in UK emissions in 2013 were a decrease in the use of coal and gas for electricity generation. This reflects the decrease in overall emissions for the UK during this period driven mainly by reductions in emissions from power stations, industrial combustion and passenger cars. The reduction from power stations is driven by change in the fuel mix used for electricity generation with a reduction in the amount of coal which is a carbon intensive fuel. The reduction in industrial combustion is largely driven by the closure or reduced activity of industrial plants, a large portion of which occurred during 2009 likely due to economic factors.",2014.0,1101360.0,84000000000.0,GBP     Pound Sterling,2014.0,"""Global city GDP 2014"". Brookings Institution. Retrieved 18 November 2014.",9.2,267.8,140.0,,,,,,,,,,,,,,,,,,
,,City of Cardiff,,2016.0,,,,,,,,"(51.481581, -3.17909)",United Kingdom,Cardiff,12/31/2013 12:00:00 AM,Administrative boundary of a local government,Other,Department of Energy and Climate Change (DECC) local authority CO2 emissions data,CO2,2128000.0,Decreased,Main reduction in industry / commercial emissions but also some decrease in domestic emissions,2014.0,354300.0,,,,,9.7,140.0,65.0,,,,,,,,,,,,,,,,,,
,,Municipality of Curitiba,C40,2016.0,,,,,,,,"(-25.431063, -49.264693)",Brazil,Curitiba,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Developed in partnership with ICLEI/URBAN LEDS Project,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,3036279.0,Increased,"The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .",2010.0,1751907.0,79400000000.0,BRL     Brazilian Real,2013.0,http://www.agencia.curitiba.pr.gov.br/publico/conteudo.aspx?codigo=39,18.0,434.0,935.0,,,,,,,,,,,,,,,,,,
